Shop,AFFECTED_COMPONENT,FAILURE_NAME,CURRENT_UTILITY,OPTIMAL_UTILITY,CRITICALITY,CONNECTIVITY,RELIABILITY,IMPORTANCE,PROVIDED_INTERFACE,REQUIRED_INTERFACE,ADT, PMax,alpha,In Use REPLICA,LOAD,COSTS,RULE,Column1,Column2
mRUBiS #1,Item Management Service,CF3,0,18480.55531,25,4,0.5,22,0,4,1.07715525,13.44823772,126.9011752,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Past Sales Item Filter,CF5,0,13528.09209,16,4,0.5,22,3,1,1.267239584,16.46641841,88.50170648,0,4586,0.5,AddReplica,,
mRUBiS #1,Region Item Filter,CF1,0,4938.575604,24,2,0.5,22,1,1,1.175641639,5.323259165,154.1970896,0,0,0.35,RestartComponent,,
mRUBiS #1,Seller Reputation Item Filter,CF3,0,22349.26298,30,4,0.5,22,3,1,1.488639397,11.29502493,99.09821681,6,133,1.69,HwRedeployComponent,,
mRUBiS #1,Persistence Service,CF5,0,50138.17194,21,16,0.5,22,16,0,1.329730953,16.94782753,97.04633435,14,4586,0.5,AddReplica,,
mRUBiS #1,Bid and Buy Service,CF3,1.82E-12,14350.52959,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,0,0,1.72,HwRedeployComponent,,
mRUBiS #1,Comment Item Filter,CF2,0,5857.212112,23,3,0.5,22,2,1,1.055558678,5.798189426,73.83963857,0,0,1.64,LwRedeployComponent,,
mRUBiS #1,Inventory Service,CF1,0,19536.09627,11,6,0.5,22,4,2,1.203441787,13.46289992,85.65241198,0,0,1.75,HwRedeployComponent,,
mRUBiS #1,Category Item Filter,CF3,0,7275.634709,20,3,0.5,22,2,1,1.006633364,9.717121663,137.9606875,42,4586,1.66,HwRedeployComponent,,
mRUBiS #1,Buy Now Item Filter,CF5,0,8292.035756,13,4,0.5,22,3,1,1.009460361,12.80042434,79.38079925,0,4586,0.5,AddReplica,,
mRUBiS #1,User Management Service,CF3,3.64E-12,21275.46592,30,4,0.5,22,0,4,1.460128436,12.90307103,167.7922013,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Authentication Service,CF1,-2.91E-11,267846.3578,30,16,0.9,22,15,1,1.211251277,15.03133952,79.54210605,0,0,2.05,ReplaceComponent,,
mRUBiS #1,Persistence Service,CF2,-7.28E-12,59541.57243,21,19,0.5,22,19,0,1.329730953,16.94782753,97.04633435,52,4586,2.14,HwRedeployComponent,,
mRUBiS #1,Query Service,CF3,0,135475.2541,27,38,0.5,22,37,1,1.101619202,6.164631462,85.67035109,0,0,2.71,HwRedeployComponent,,
mRUBiS #1,Item Management Service,CF2,0,18480.55531,25,4,0.5,22,0,4,1.07715525,13.44823772,126.9011752,0,0,1.64,LwRedeployComponent,,
mRUBiS #1,Availability Item Filter,CF3,1.82E-12,9054.950596,23,4,0.5,22,3,1,1.110298158,5.972367311,77.34298858,15,285,1.69,HwRedeployComponent,,
mRUBiS #1,Google Authentication Service,CF2,0,196417.4324,22,16,0.9,22,15,1,1.211251277,11.91320797,105.9324131,0,0,0.35,RestartComponent,,
mRUBiS #1,Inventory Service,CF2,0,19536.09627,11,6,0.5,22,4,2,1.203441787,13.46289992,85.65241198,0,0,1.75,HwRedeployComponent,,
mRUBiS #1,Reputation Service,CF3,-1.82E-12,13779.40063,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,0,0,1.69,HwRedeployComponent,,
mRUBiS #1,Reputation Service,CF2,-1.82E-12,13779.40063,23,4,0.5,22,0,4,1.296816708,12.90191946,123.4888734,0,0,0.35,RestartComponent,,
mRUBiS #1,Persistence Service,CF3,-1.46E-11,65810.50608,21,21,0.5,22,21,0,1.329730953,16.94782753,97.04633435,0,0,2.2,HwRedeployComponent,,
mRUBiS #1,Bid and Buy Service,CF3,1.82E-12,14350.52959,27,5,0.5,22,0,5,1.35613418,8.060657087,73.9594634,0,0,1.72,HwRedeployComponent,,
mRUBiS #1,Query Service,CF2,-2.91E-11,153784.2095,27,43,0.5,22,42,1,1.101619202,6.164631462,85.67035109,0,0,2.86,HwRedeployComponent,,
mRUBiS #1,Comment Item Filter,CF3,0,5857.212112,23,3,0.5,22,2,1,1.055558678,5.798189426,73.83963857,0,0,1.66,HwRedeployComponent,,
mRUBiS #1,Buy Now Item Filter,CF1,0,8292.035756,13,4,0.5,22,3,1,1.009460361,12.80042434,79.38079925,57,4586,0.35,RestartComponent,,
