,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
291,_SFLAXecdEeet0YmmfbMwkw,CF2,26.3669,4.0271,6.1838,2.4233,4.3629,5.8183
292,_SFLBB-cdEeet0YmmfbMwkw,CF2,26.3719,4.0321,6.1888,2.4283,4.3679,5.8233
293,_SFLokecdEeet0YmmfbMwkw,CF2,26.3849,4.0451,6.2018,2.5093,4.3809,5.8363
294,_SFMPZecdEeet0YmmfbMwkw,CF2,26.3899,4.0501,6.2068,2.5103,4.3859,5.8413
295,_SFMQD-cdEeet0YmmfbMwkw,CF2,26.3939,4.0541,6.2108,2.5113,4.3899,5.8453
296,_SFNdqOcdEeet0YmmfbMwkw,CF2,15.635,3.2792,4.665,1.9691,3.5021,4.6589
297,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.101,3.1601,4.4212,1.8893,3.3627,4.4609
298,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104,3.1631,4.4222,1.8923,3.3657,4.4619
299,_SFLn7ecdEeet0YmmfbMwkw,CF2,14.109,3.1681,4.4232,1.8973,3.3707,4.4629
300,_SFM29-cdEeet0YmmfbMwkw,CF2,14.111,3.1701,4.4242,1.8993,3.3727,4.4639
301,_SFODgecdEeet0YmmfbMwkw,CF2,12.581,3.0484,4.2051,1.8182,3.2249,4.278
302,_SFOrh-cdEeet0YmmfbMwkw,CF3,1107.9942,40.462,109.8471,14.2174,31.7158,42.3651
303,_SFS9vOcdEeet0YmmfbMwkw,CF3,1111.1762,40.5306,110.0513,14.2401,31.7682,42.4407
304,_SFOq5ecdEeet0YmmfbMwkw,CF3,803.0189,50.0954,120.7819,21.7518,49.1158,65.1169
305,_SFS9GucdEeet0YmmfbMwkw,CF3,805.4938,50.1889,121.0235,21.7928,49.2102,65.2532
306,_SFOD_ucdEeet0YmmfbMwkw,CF3,50.4212,5.3012,9.0373,3.1628,5.7399,7.7156
307,_SFSWNecdEeet0YmmfbMwkw,CF3,50.4342,5.3142,9.0503,3.1758,5.7529,7.7286
308,_SFOEpucdEeet0YmmfbMwkw,CF3,28.4849,4.246,6.5444,2.6155,4.5987,6.1062
309,_SFSW3ecdEeet0YmmfbMwkw,CF3,28.4879,4.249,6.5474,2.6185,4.6017,6.1092
310,_SFOFSucdEeet0YmmfbMwkw,CF3,26.4069,4.0671,6.2238,2.4583,4.4029,5.8583
311,_SFS8dOcdEeet0YmmfbMwkw,CF3,26.4169,4.0771,6.2338,2.4683,4.4129,5.8683
312,_SEu7g-cdEeet0YmmfbMwkw,CF3,26.2429,3.9031,6.0598,2.3153,4.2389,5.6943
313,_SEvinOcdEeet0YmmfbMwkw,CF3,26.2489,3.9091,6.0658,2.3203,4.2449,5.7003
314,_SFOsK-cdEeet0YmmfbMwkw,CF3,15.64,3.2842,4.67,1.9741,3.5071,4.6639
315,_SFTjAecdEeet0YmmfbMwkw,CF3,15.645,3.2892,4.675,1.9791,3.5121,4.6689
316,_SFSVuOcdEeet0YmmfbMwkw,CF3,12.585,3.0524,4.2091,1.8222,3.2289,4.289
317,_SFSVE-cdEeet0YmmfbMwkw,CF3,7.902,2.5384,3.3006,1.4361,2.5759,3.4289
318,_SEtGI-cdEeet0YmmfbMwkw,CF3,7.892,2.5284,3.2906,1.4261,2.5659,3.4189
319,_SEuUY-cdEeet0YmmfbMwkw,CF3,7.893,2.5294,3.2916,1.4271,2.5669,3.4199
320,_SEzNFecdEeet0YmmfbMwkw,CF2,150.5241,7.9195,16.1712,4.2196,8.0269,10.9679
321,_SEymIOcdEeet0YmmfbMwkw,CF1,1214.5424,85.4384,201.4841,39.0951,89.1603,117.8487
322,_SEz0XucdEeet0YmmfbMwkw,CF3,1067.6091,42.682,113.6145,15.5564,34.4147,45.7662
323,_SE0bTOcdEeet0YmmfbMwkw,CF3,97.761,6.8359,13.0815,3.8172,7.1617,9.7391
324,_SE1CCecdEeet0YmmfbMwkw,CF3,97.762,6.8369,13.0825,3.8182,7.1627,9.7401
325,_SE8-O-cdEeet0YmmfbMwkw,CF1,97.765,6.8399,13.0855,3.8212,7.1657,9.7431
326,_SE_a_OcdEeet0YmmfbMwkw,CF2,97.769,6.8439,13.0895,3.8252,7.1697,9.7471
327,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512,5.2312,8.9673,3.0928,5.7529,7.7286
328,_SE-MhecdEeet0YmmfbMwkw,CF1,50.3522,5.2322,8.9683,3.0938,5.6759,7.6556
329,_SFAodecdEeet0YmmfbMwkw,CF2,50.3762,5.2562,8.9923,3.1178,5.7539,7.7296
330,_SFBPhucdEeet0YmmfbMwkw,CF2,49.8502,5.2116,8.916,3.0831,5.6547,7.6254
331,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749,4.236,6.5344,2.6055,4.5887,6.0962
332,_SE_aWucdEeet0YmmfbMwkw,CF1,27.9409,4.1775,6.4411,2.5592,4.5265,6.0216
333,_SE8-s-cdEeet0YmmfbMwkw,CF1,26.2259,3.8861,6.0428,2.4873,4.2219,5.6773
334,_SE9lYOcdEeet0YmmfbMwkw,CF1,26.2329,3.8931,6.0498,2.4893,4.2289,5.6843
335,_SE-z0OcdEeet0YmmfbMwkw,CF1,26.1939,3.8541,6.0108,2.2753,4.1899,5.6453
336,_SFABWOcdEeet0YmmfbMwkw,CF2,26.2689,3.9291,6.0858,2.4933,4.2649,5.7203
337,_SFACAucdEeet0YmmfbMwkw,CF2,26.2739,3.9341,6.0908,2.4943,4.2699,5.7253
338,_SFB2rOcdEeet0YmmfbMwkw,CF2,15.624,3.2682,4.65,1.9581,3.4911,4.6479
339,_SE-zLOcdEeet0YmmfbMwkw,CF1,14.089,3.1481,4.4252,1.8773,3.3507,4.4649
340,_SFDr3ecdEeet0YmmfbMwkw,CF3,1120.3322,38.7233,105.9994,13.5204,29.752,39.6853
341,_SFB3V-cdEeet0YmmfbMwkw,CF2,12.576,3.0434,4.2001,1.8132,3.2199,4.282
342,_SFDsfecdEeet0YmmfbMwkw,CF3,624.4842,24.0872,62.7008,9.1825,19.7907,26.5511
343,_SFESfecdEeet0YmmfbMwkw,CF3,2041.1442,78.5762,214.3624,27.2867,61.698,81.8531
344,_SFETHecdEeet0YmmfbMwkw,CF3,97.777,6.8519,13.0975,3.8332,7.1777,9.7551
345,_SFE57ucdEeet0YmmfbMwkw,CF3,97.775,6.8499,13.0955,3.8312,7.1757,9.7531
346,_SFDFc-cdEeet0YmmfbMwkw,CF3,58.3849,5.6148,9.8262,3.3092,6.061,8.1747
347,_SFCeSucdEeet0YmmfbMwkw,CF3,28.4759,4.237,6.5354,2.6065,4.5897,6.0972
348,_SFDEzecdEeet0YmmfbMwkw,CF3,26.2999,3.9601,6.1168,2.3653,4.2959,5.7513
349,_SFCdyucdEeet0YmmfbMwkw,CF3,12.579,3.0464,4.2031,1.8162,3.2229,4.285
350,_SFGwGecdEeet0YmmfbMwkw,CF1,97.779,6.8539,13.0995,3.8352,7.1797,9.7571
351,_SFKaeecdEeet0YmmfbMwkw,CF1,97.785,6.8599,13.1055,3.8412,7.1857,9.7631
352,_SFMO7ecdEeet0YmmfbMwkw,CF2,97.793,6.8749,13.1205,3.8172,7.2007,9.7711
353,_SFFhsucdEeet0YmmfbMwkw,CF1,50.3902,5.2702,9.0063,3.1318,5.7549,7.7306
354,_SFGH_OcdEeet0YmmfbMwkw,CF1,50.3912,5.2712,9.0073,3.1328,5.7129,7.7316
355,_SFJyFecdEeet0YmmfbMwkw,CF1,50.3982,5.2782,9.0143,3.1398,5.7559,7.7326
356,_SFJytecdEeet0YmmfbMwkw,CF1,50.4002,5.2802,9.0163,3.1418,5.7209,7.7336
357,_SFLBsecdEeet0YmmfbMwkw,CF2,50.4092,5.2892,9.0253,3.1508,5.7569,7.7346
358,_SFLnRecdEeet0YmmfbMwkw,CF2,50.4112,5.2912,9.0273,3.1528,5.7309,7.7356
359,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152,5.2952,9.0313,3.1568,5.7579,7.7366
360,_SFM2T-cdEeet0YmmfbMwkw,CF2,50.4162,5.2962,9.0323,3.1578,5.7349,7.7376
361,_SFNdAucdEeet0YmmfbMwkw,CF2,41.3994,4.8594,8.0287,2.9204,5.2734,7.0875
362,_SFOEBucdEeet0YmmfbMwkw,CF2,28.4829,4.244,6.5424,2.6135,4.5967,6.1042
363,_SFGvd-cdEeet0YmmfbMwkw,CF1,27.9579,4.1945,6.4581,2.5852,4.5435,6.0386
364,_SFKZ1-cdEeet0YmmfbMwkw,CF1,27.9589,4.1955,6.4591,2.5752,4.5445,6.0396
365,_SFMOS-cdEeet0YmmfbMwkw,CF2,27.9649,4.2015,6.4651,2.5872,4.5505,6.0456
366,_SFFhCOcdEeet0YmmfbMwkw,CF1,26.3249,3.9851,6.1418,2.5003,4.3209,5.7763
367,_SFGu0ecdEeet0YmmfbMwkw,CF1,26.3349,3.9951,6.1518,2.5023,4.3309,5.7863
368,_SFGwkecdEeet0YmmfbMwkw,CF1,26.3429,4.0031,6.1598,2.5043,4.3389,5.7943
369,_SFJK--cdEeet0YmmfbMwkw,CF1,26.3469,4.0071,6.1638,2.5063,4.3429,5.7983
370,_SFKZMecdEeet0YmmfbMwkw,CF1,26.3579,4.0181,6.1748,2.4143,4.3539,5.8093
371,_SFLAXecdEeet0YmmfbMwkw,CF1,26.3659,4.0261,6.1828,2.4223,4.3619,5.8173
372,_SFLBB-cdEeet0YmmfbMwkw,CF2,26.3719,4.0321,6.1888,2.4283,4.3679,5.8233
373,_SFLokecdEeet0YmmfbMwkw,CF2,26.3849,4.0451,6.2018,2.5093,4.3809,5.8363
374,_SFMPZecdEeet0YmmfbMwkw,CF2,26.3899,4.0501,6.2068,2.5103,4.3859,5.8413
375,_SFMQD-cdEeet0YmmfbMwkw,CF2,26.3939,4.0541,6.2108,2.5113,4.3899,5.8453
376,_SFNdqOcdEeet0YmmfbMwkw,CF2,15.635,3.2792,4.665,1.9691,3.5021,4.6589
377,_SFGIpOcdEeet0YmmfbMwkw,CF1,14.101,3.1601,4.4212,1.8893,3.3627,4.4609
378,_SFJzXecdEeet0YmmfbMwkw,CF1,14.104,3.1631,4.4222,1.8923,3.3657,4.4619
379,_SFLn7ecdEeet0YmmfbMwkw,CF2,14.109,3.1681,4.4232,1.8973,3.3707,4.4629
380,_SFM29-cdEeet0YmmfbMwkw,CF2,14.111,3.1701,4.4242,1.8993,3.3727,4.4639
381,_SFOq5-cdEeet0YmmfbMwkw,CF3,1126.6972,69.4721,195.6672,22.8043,51.4379,68.3463
382,_SFS9HOcdEeet0YmmfbMwkw,CF3,2093.8682,69.6002,196.0546,22.8453,51.5324,68.4825
383,_SFODgecdEeet0YmmfbMwkw,CF2,12.581,3.0484,4.2051,1.8182,3.2249,4.278
384,_SEu7iucdEeet0YmmfbMwkw,CF3,1606.6757,80.3698,205.8254,31.3983,71.2848,94.3828
385,_SEvio-cdEeet0YmmfbMwkw,CF3,1166.0319,60.5493,153.1082,24.137,54.552,72.2863
386,_SEwJrOcdEeet0YmmfbMwkw,CF3,61.8979,5.7624,10.1602,3.3843,6.1848,8.3576
387,_SFOFUOcdEeet0YmmfbMwkw,CF3,58.3879,5.6178,9.8292,3.3102,6.064,8.1777
388,_SFS8eucdEeet0YmmfbMwkw,CF3,58.3889,5.6188,9.8302,3.3112,6.065,8.1787
389,_SFSWPecdEeet0YmmfbMwkw,CF3,28.4889,4.25,6.5484,2.6195,4.6027,6.1102
390,_SFOEqucdEeet0YmmfbMwkw,CF3,26.4049,4.0651,6.2218,2.4563,4.4009,5.8563
391,_SFSW4ecdEeet0YmmfbMwkw,CF3,26.4249,4.0851,6.2418,2.4763,4.4209,5.8763
392,_SFOri-cdEeet0YmmfbMwkw,CF3,15.639,3.2832,4.669,1.9731,3.5061,4.6629
393,_SFS9wOcdEeet0YmmfbMwkw,CF3,15.642,3.2862,4.672,1.9761,3.5091,4.6659
394,_SFSVGOcdEeet0YmmfbMwkw,CF3,12.583,3.0504,4.2071,1.8202,3.2269,4.287
395,_SFSVvecdEeet0YmmfbMwkw,CF3,12.586,3.0534,4.2101,1.8232,3.2299,4.29
396,_SEtGKOcdEeet0YmmfbMwkw,CF3,12.571,3.0384,4.1951,1.8082,3.2149,4.278
397,_SEuUaOcdEeet0YmmfbMwkw,CF3,12.574,3.0414,4.1981,1.8112,3.2179,4.28
398,_SFOsMecdEeet0YmmfbMwkw,CF3,7.9,2.5364,3.2986,1.4341,2.5739,3.4269
399,_SFTjB-cdEeet0YmmfbMwkw,CF3,7.904,2.5404,3.3026,1.4381,2.5779,3.4309
400,_SEzNFecdEeet0YmmfbMwkw,CF1,1939.8826,71.8879,197.3868,24.6782,55.7556,74.0565
401,_SEz0YucdEeet0YmmfbMwkw,CF2,15.623,3.2672,4.656,1.9571,3.4901,4.6469
402,_SE1CgecdEeet0YmmfbMwkw,CF3,26.2029,3.8631,6.0198,2.2833,4.1989,5.6543
403,_SE0bUOcdEeet0YmmfbMwkw,CF3,15.619,3.2632,4.652,1.9531,3.4861,4.6429
404,_SE1CDecdEeet0YmmfbMwkw,CF3,15.62,3.2642,4.653,1.9541,3.4871,4.6439
405,_SE_a_OcdEeet0YmmfbMwkw,CF1,97.768,6.8429,13.0885,3.8242,7.1687,9.7461
406,_SE-L5ecdEeet0YmmfbMwkw,CF1,50.3512,5.2312,8.9673,3.0928,5.7529,7.7286
407,_SE-MhecdEeet0YmmfbMwkw,CF1,50.3522,5.2322,8.9683,3.0938,5.6759,7.6556
408,_SFAodecdEeet0YmmfbMwkw,CF2,50.3762,5.2562,8.9923,3.1178,5.7539,7.7296
409,_SFBPhucdEeet0YmmfbMwkw,CF2,49.8502,5.2116,8.916,3.0831,5.6547,7.6254
410,_SFApHecdEeet0YmmfbMwkw,CF2,28.4749,4.236,6.5344,2.6055,4.5887,6.0962
411,_SE_aWucdEeet0YmmfbMwkw,CF1,27.9409,4.1775,6.4411,2.5592,4.5265,6.0216
412,_SE8-s-cdEeet0YmmfbMwkw,CF1,26.2259,3.8861,6.0428,2.4873,4.2219,5.6773
413,_SE9lYOcdEeet0YmmfbMwkw,CF1,26.2329,3.8931,6.0498,2.4893,4.2289,5.6843
414,_SE-z0OcdEeet0YmmfbMwkw,CF1,26.1939,3.8541,6.0108,2.2753,4.1899,5.6453
415,_SFABWOcdEeet0YmmfbMwkw,CF2,26.2689,3.9291,6.0858,2.4933,4.2649,5.7203
416,_SFACAucdEeet0YmmfbMwkw,CF2,26.2739,3.9341,6.0908,2.4943,4.2699,5.7253
417,_SFB2rOcdEeet0YmmfbMwkw,CF2,15.624,3.2682,4.65,1.9581,3.4911,4.6479
418,_SE-zLOcdEeet0YmmfbMwkw,CF1,14.089,3.1481,4.4252,1.8773,3.3507,4.4649
419,_SFDFdecdEeet0YmmfbMwkw,CF3,1137.5611,8.4446,17.7563,4.387,8.4111,11.5213
420,_SFB3V-cdEeet0YmmfbMwkw,CF2,12.576,3.0434,4.2001,1.8132,3.2199,4.282
421,_SFCdz-cdEeet0YmmfbMwkw,CF2,9.497,2.7561,3.657,1.6092,2.8532,3.7869
